['/Users/danielknight/Desktop/listicles/downloads/Iconic/1. -iwchqlr_400x400.png']
New York%New York%96,373%%['/Users/danielknight/Desktop/listicles/downloads/Iconic New York New York/1. skyline+dusk.jpg']
Philadelphia%Pennsylvania%53,722%%['/Users/danielknight/Desktop/listicles/downloads/Iconic Philadelphia Pennsylvania/1. independencehall_j.fusco_01-900vp.jpg']
Baltimore%Maryland%46,555%%['/Users/danielknight/Desktop/listicles/downloads/Iconic Baltimore Maryland/1. the-iconic-natty-boh-tower-on-brewers-hill-in-baltimore-maryland-fa8r1p.jpg']
Boston%Massachusetts%33,787%%['/Users/danielknight/Desktop/listicles/downloads/Iconic Boston Massachusetts/1. boston.jpg']
Charleston%South Carolina%24,711%%['/Users/danielknight/Desktop/listicles/downloads/Iconic Charleston South Carolina/1. charleston-waterfront-park.jpg']
Northern Liberties%Pennsylvania%19,874%Now a neighborhood of Philadelphia.%['/Users/danielknight/Desktop/listicles/downloads/Iconic Northern Liberties Pennsylvania/1. schmidts-commons-northern-liberties-flea1-m.edlow_vp-2200x1237.jpg']
New Orleans%Territory of Orleans%17,242%Thirteen Colonies%['/Users/danielknight/Desktop/listicles/downloads/Iconic New Orleans Territory of Orleans/1. 1805tmap.gif']
Southwark%Pennsylvania%13,707%South Philadelphia%['/Users/danielknight/Desktop/listicles/downloads/Iconic Southwark Pennsylvania/1. general-views-of-southwark-fire-station-in-south-london-picture-id851938938.jpg']
Salem%Massachusetts%12,613%Listed as a town.%['/Users/danielknight/Desktop/listicles/downloads/Iconic Salem Massachusetts/1. salem_witch_house_ii.jpg']
